,abused,depressed,hopeless,worthless,empty,anxious,sleeping,irritable,restless,alcohol,sertraline,zoloft,prozac,pills,suicide abused,suicide pain,suicide tried,suicide before,suicide mom,suicide sister,suicide brother,suicide friend,suicide thought,suicide kill,suicide think,suicide before,cut,bully,bullied,suicide gun,suicide shoot,schizophrenia,anorexia,bulimia,ocd,bipolar,ptsd,borderline personality,panic disorder,social anxiety,fight dad,fight mom,fight parents,fight sister,fight brother,argue dad,argue mom,argue parents,argue sister,argue brother,impulsive
abused,73,9,4,4,5,2,13,0,1,20,1,1,2,6,3,0,1,1,1,0,0,4,1,5,1,1,69,10,5,3,3,5,0,2,4,6,2,0,14,0,0,0,1,0,1,0,0,0,0,0,0
depressed,9,182,12,17,26,21,60,0,4,70,4,34,6,55,0,2,2,1,1,0,0,2,3,7,6,1,172,20,12,3,1,7,5,3,33,42,3,2,67,38,3,1,3,1,3,0,0,1,0,0,4
hopeless,4,12,66,9,27,7,20,0,1,18,1,0,0,9,0,2,0,1,0,0,0,1,1,0,2,1,62,6,5,1,0,1,3,1,1,1,0,0,17,1,1,0,2,0,0,0,1,0,0,0,1
worthless,4,17,9,62,16,7,29,0,2,12,0,2,2,13,0,2,0,1,1,0,1,2,1,1,3,1,54,11,11,2,1,2,4,0,1,5,0,0,16,1,1,1,1,0,1,0,1,0,0,0,2
empty,5,26,27,16,234,18,72,2,10,56,4,5,5,20,0,2,0,2,1,0,0,2,4,4,4,2,205,22,8,8,1,2,5,2,4,8,1,0,47,4,2,8,6,1,0,0,1,0,0,0,2
anxious,2,21,7,7,18,93,30,1,7,30,7,14,17,19,0,1,0,0,1,0,0,2,0,0,1,0,88,7,2,2,1,5,4,0,6,18,3,1,25,5,0,0,2,0,1,0,0,1,0,0,2
sleeping,13,60,20,29,72,30,388,2,6,87,0,7,10,48,1,2,0,2,2,0,0,4,2,6,7,2,360,32,13,6,2,7,8,0,6,19,4,1,71,4,3,7,3,1,3,0,0,0,0,0,8
irritable,0,0,0,0,2,1,2,6,1,4,0,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,6,1,1,0,0,1,0,0,0,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0
restless,1,4,1,2,10,7,6,1,21,7,1,1,1,6,0,0,0,0,0,0,0,0,1,0,0,0,17,3,0,0,0,0,0,1,0,1,0,0,7,0,0,1,1,0,0,0,0,0,0,0,3
alcohol,20,70,18,12,56,30,87,4,7,294,13,55,26,79,1,2,1,1,2,1,0,7,5,6,3,1,263,26,10,7,3,12,9,4,42,54,6,1,86,37,3,3,1,1,3,0,1,0,0,0,9
sertraline,1,4,1,0,4,7,0,0,1,13,14,11,9,9,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,0,0,2,1,2,2,7,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
zoloft,1,34,0,2,5,14,7,2,1,55,11,58,22,52,0,0,0,0,0,0,0,0,0,0,0,0,54,1,0,0,0,4,3,1,37,43,3,0,37,34,0,0,0,0,0,0,0,0,0,0,0
prozac,2,6,0,2,5,17,10,3,1,26,9,22,41,24,0,0,0,0,0,0,0,1,0,0,0,0,32,4,1,0,0,7,3,1,6,17,5,1,12,2,0,0,0,0,0,0,0,0,0,0,0
pills,6,55,9,13,20,19,48,3,6,79,9,52,24,172,0,2,0,1,1,0,0,3,2,3,3,1,158,6,6,4,1,7,7,1,35,46,4,2,57,38,0,0,1,0,0,0,0,1,0,0,5
suicide abused,3,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,1,1,0,0,1,1,1,1,1,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
suicide pain,0,2,2,2,2,1,2,0,0,2,0,0,0,2,0,6,1,1,0,2,0,3,1,2,3,1,5,2,1,0,1,0,1,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0
suicide tried,1,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,1,0,0,1,0,2,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
suicide before,1,1,1,1,2,0,2,0,0,1,0,0,0,1,1,1,0,8,1,1,0,2,3,3,0,8,8,3,2,4,0,1,1,0,0,1,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0
suicide mom,1,1,0,1,1,1,2,0,0,2,0,0,0,1,1,0,0,1,9,0,1,1,2,2,1,1,8,2,1,3,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0
suicide sister,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0,3,0,1,1,3,1,1,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
suicide brother,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
suicide friend,4,2,1,2,2,2,4,0,0,7,0,0,1,3,1,3,1,2,1,1,0,24,1,2,1,2,20,3,1,2,0,2,2,1,1,3,2,0,4,1,0,0,0,0,0,0,0,0,0,0,0
suicide thought,1,3,1,1,4,0,2,0,1,5,0,0,0,2,1,1,0,3,2,1,0,1,14,3,1,3,12,3,1,2,1,1,0,0,0,1,2,0,2,1,0,1,0,0,0,0,0,0,0,0,0
suicide kill,5,7,0,1,4,0,6,0,0,6,0,0,0,3,1,2,0,3,2,3,0,2,3,31,2,3,30,4,6,5,2,1,0,0,1,1,3,0,0,2,0,1,0,0,0,0,0,0,0,0,0
suicide think,1,6,2,3,4,1,7,0,0,3,0,0,0,3,1,3,1,0,1,1,0,1,1,2,15,0,12,3,2,1,1,0,1,0,2,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0
suicide before,1,1,1,1,2,0,2,0,0,1,0,0,0,1,1,1,0,8,1,1,0,2,3,3,0,8,8,3,2,4,0,1,1,0,0,1,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0
cut,69,172,62,54,205,88,360,6,17,263,13,54,32,158,2,5,2,8,8,2,1,20,12,30,12,8,1470,148,57,35,13,24,14,5,57,102,16,5,243,44,12,21,12,7,8,1,9,1,0,0,21
bully,10,20,6,11,22,7,32,1,3,26,1,1,4,6,1,2,0,3,2,1,0,3,3,4,3,3,148,172,20,5,3,4,2,1,1,8,7,1,27,4,2,6,1,0,0,0,0,0,0,0,2
bullied,5,12,5,11,8,2,13,1,0,10,0,0,1,6,0,1,0,2,1,0,0,1,1,6,2,2,57,20,61,5,0,2,2,0,0,3,5,0,11,3,0,2,0,0,0,0,0,0,0,0,1
suicide gun,3,3,1,2,8,2,6,0,0,7,0,0,0,4,1,0,0,4,3,0,0,2,2,5,1,4,35,5,5,39,4,1,0,0,0,0,1,0,9,1,1,5,1,1,0,0,0,0,0,0,1
suicide shoot,3,1,0,1,1,1,2,0,0,3,0,0,0,1,0,1,1,0,0,0,0,0,1,2,1,0,13,3,0,4,14,1,0,0,1,1,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0
schizophrenia,5,7,1,2,2,5,7,1,0,12,2,4,7,7,0,0,1,1,1,0,0,2,1,1,0,1,24,4,2,1,1,25,2,1,2,15,5,3,6,3,0,1,0,0,0,0,0,0,0,0,0
anorexia,0,5,3,4,5,4,8,0,0,9,1,3,3,7,0,1,0,1,0,0,0,2,0,0,1,1,14,2,2,0,0,2,15,1,3,4,0,0,7,1,0,1,0,0,0,0,0,0,0,0,0
bulimia,2,3,1,0,2,0,0,0,1,4,2,1,1,1,0,0,1,0,0,0,0,1,0,0,0,0,5,1,0,0,0,1,1,5,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
ocd,4,33,1,1,4,6,6,0,0,42,2,37,6,35,0,0,0,0,0,0,1,1,0,1,2,0,57,1,0,0,1,2,3,0,65,36,1,0,37,31,0,0,0,0,0,0,0,0,0,0,0
bipolar,6,42,1,5,8,18,19,2,1,54,7,43,17,46,0,0,1,1,0,0,0,3,1,1,0,1,102,8,3,0,1,15,4,2,36,110,6,5,44,37,0,0,0,1,0,0,0,0,0,0,0
ptsd,2,3,0,0,1,3,4,1,0,6,1,3,5,4,0,1,0,2,1,1,0,2,2,3,0,2,16,7,5,1,0,5,0,0,1,6,17,1,3,3,0,1,0,0,1,0,0,0,0,0,0
borderline personality,0,2,0,0,0,1,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,3,0,0,0,5,1,5,1,1,0,0,0,0,0,0,0,0,0,0,0
panic disorder,14,67,17,16,47,25,71,3,7,86,1,37,12,57,0,2,1,1,0,0,0,4,2,0,3,1,243,27,11,9,5,6,7,1,37,44,3,1,269,37,2,1,5,1,0,0,2,1,0,0,5
social anxiety,0,38,1,1,4,5,4,0,0,37,1,34,2,38,0,0,0,1,1,0,0,1,1,2,1,1,44,4,3,1,0,3,1,0,31,37,3,1,37,49,0,2,0,0,0,0,0,0,0,0,1
fight dad,0,3,1,1,2,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,0,1,0,0,0,0,0,0,0,0,2,0,13,5,0,1,0,0,0,0,0,0,0
fight mom,0,1,0,1,8,0,7,0,1,3,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,21,6,2,5,0,1,1,0,0,0,1,0,1,2,5,25,0,1,1,0,0,0,0,0,0
fight parents,1,3,2,1,6,2,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,12,1,0,1,1,0,0,0,0,0,0,0,5,0,0,0,14,0,1,0,0,1,0,0,1
fight sister,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0,1,0,0,1,0,1,1,0,7,2,0,1,0,0,0,0
fight brother,1,3,0,1,0,1,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,2,9,0,1,0,0,0,0
argue dad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
argue mom,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,1,0,9,0,0,0,0
argue parents,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0
argue sister,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
argue brother,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
impulsive,0,4,1,2,2,2,8,0,3,9,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,21,2,1,1,0,0,0,0,0,0,0,0,5,1,0,0,1,0,0,0,0,0,0,0,26
